iter	Passed	Remaining
0	62	62013
1	62	31235
2	62	20932
3	63	15766
4	63	12675
5	64	10605
6	64	9138
7	64	8028
8	65	7170
9	65	6480
10	65	5923
11	66	5453
12	66	5053
13	66	4711
14	67	4414
15	67	4154
16	67	3925
17	68	3720
18	68	3538
19	68	3373
20	69	3228
21	69	3094
22	69	2971
23	70	2857
24	70	2752
25	70	2654
26	71	2565
27	71	2483
28	71	2406
29	72	2334
30	72	2266
31	72	2203
32	73	2144
33	73	2087
34	73	2034
35	74	1984
36	74	1936
37	74	1892
38	75	1849
39	75	1808
40	75	1769
41	75	1733
42	76	1697
43	76	1663
44	76	1631
45	77	1599
46	77	1569
47	77	1540
48	77	1512
49	78	1486
50	78	1461
51	78	1437
52	79	1414
53	79	1391
54	79	1370
55	80	1349
56	80	1329
57	81	1316
58	81	1299
59	81	1281
60	82	1265
61	82	1247
62	82	1231
63	83	1215
64	83	1199
65	83	1185
66	84	1170
67	84	1156
68	84	1142
69	85	1130
70	85	1117
71	85	1105
72	86	1093
73	86	1081
74	86	1070
75	87	1058
76	87	1047
77	87	1036
78	88	1027
79	88	1017
80	88	1007
81	89	997
82	89	986
83	89	976
84	89	966
85	90	957
86	90	948
87	90	939
88	90	930
89	91	922
90	91	913
91	91	905
92	92	897
93	92	889
94	92	881
95	92	874
96	93	867
97	93	860
98	93	853
99	94	846
100	94	840
101	94	833
102	95	827
103	95	821
104	95	815
105	96	811
106	96	806
107	96	800
108	97	795
109	97	789
110	97	784
111	98	779
112	98	773
113	98	768
114	99	763
115	99	758
116	99	753
117	100	748
118	100	743
119	100	739
120	101	734
121	101	729
122	101	724
123	101	720
124	102	716
125	102	711
126	102	706
127	103	702
128	103	698
129	103	694
130	104	690
131	104	686
132	104	682
133	104	678
134	105	674
135	105	670
136	105	666
137	106	663
138	106	659
139	106	655
140	107	652
141	107	647
142	107	644
143	107	641
144	108	637
145	108	634
146	108	631
147	109	627
148	109	624
149	109	621
150	109	618
151	110	615
152	110	612
153	110	609
154	111	606
155	111	603
156	111	600
157	112	598
158	112	596
159	112	593
160	113	589
161	113	587
162	113	584
163	114	582
164	114	579
165	114	576
166	115	574
167	115	572
168	115	569
169	116	567
170	116	564
171	116	562
172	117	559
173	117	558
174	117	555
175	118	553
176	118	551
177	118	549
178	119	546
179	119	544
180	119	542
181	120	540
182	120	537
183	120	535
184	121	533
185	121	531
186	121	529
187	122	527
188	122	524
189	122	522
190	122	520
191	123	518
192	123	516
193	123	514
194	124	512
195	124	510
196	124	508
197	124	506
198	125	504
199	125	502
200	126	500
201	126	499
202	126	497
203	126	495
204	127	493
205	127	491
206	127	489
207	128	488
208	128	486
209	128	484
210	129	482
211	129	480
212	129	479
213	129	477
214	130	475
215	130	473
216	130	472
217	131	470
218	131	469
219	131	467
220	132	465
221	132	464
222	132	462
223	133	461
224	133	459
225	133	458
226	134	456
